category,count
Tap water,4134
Coffee,3339
Bottled water,3311
Cheese,2405
Cookies and brownies,2268
Eggs and omelets,2248
Other vegetables and combinations,2135
Yeast breads,2090
Tomato-based condiments,1987
"Chicken, whole pieces",1846
Soft drinks,1819
Tea,1814
Salad dressings and vegetable oils,1793
Lettuce and lettuce salads,1749
French fries and other fried white potatoes,1734
Nuts and seeds,1725
Mustard and other condiments,1698
"Crackers, excludes saltines",1612
Cream and cream substitutes,1544
"Tortilla, corn, other chips",1521
Bananas,1504
Deli and cured meat sandwiches,1457
Apples,1445
Candy containing chocolate,1421
Sugars and honey,1417
Butter and animal fats,1409
Mayonnaise,1408
Ice cream and frozen dairy desserts,1399
Vegetables on a sandwich,1392
Potato chips,1359
"Pasta mixed dishes, excludes macaroni and cheese",1304
Candy not containing chocolate,1293
Rice,1273
Pizza,1259
Tomatoes,1249
"Ready-to-eat cereal, higher sugar (>21.2g/100g)",1242
Fruit drinks,1214
"Jams, syrups, toppings",1181
"Milk, whole",1168
Cakes and pies,1160
"Dips, gravies, other sauces",1114
"Milk, reduced fat",1096
"Doughnuts, sweet rolls, pastries",1045
Burgers,941
"Cream cheese, sour cream, whipped cream",923
Citrus fruits,914
Meat mixed dishes,885
Diet soft drinks,868
"Soups, broth-based",865
Blueberries and other berries,843
Carrots,843
"Beans, peas, legumes",836
Fish,835
Strawberries,821
"Chicken patties, nuggets and tenders",820
Citrus juice,817
Burritos and tacos,801
"Biscuits, muffins, quick breads",801
Egg/breakfast sandwiches,799
"Olives, pickles, pickled vegetables",793
"Pancakes, waffles, French toast",792
Popcorn,767
Not included in a food category,761
Mashed potatoes and white potato mixtures,758
Grapes,741
"Beef, excludes ground",720
"Ready-to-eat cereal, lower sugar (=<21.2g/100g)",713
Onions,713
Poultry mixed dishes,696
Cold cuts and cured meats,650
Bacon,648
Beer,640
Oatmeal,634
Sausages,628
Flavored or carbonated water,618
"Yogurt, regular",599
Pork,596
"White potatoes, baked or boiled",584
Macaroni and cheese,569
Bagels and English muffins,567
Cereal bars,556
Broccoli,552
Pretzels/snack mix,540
Other Mexican mixed dishes,540
Rice mixed dishes,534
Sugar substitutes,531
Melons,527
Plant-based milk,519
String beans,514
Wine,509
Peanut butter and jelly sandwiches,506
Apple juice,502
Other fruit juice,485
Corn,482
Other fruits and fruit salads,458
"Yogurt, Greek",449
"Milk, lowfat",441
Frankfurter sandwiches,438
Chicken fillet sandwiches,433
Sport and energy drinks,432
Rolls and buns,432
Dried fruits,428
Smoothies and grain drinks,421
Liquor and cocktails,414
Margarine,400
"Gelatins, ices, sorbets",360
Tortillas,351
Ramen and Asian broth-based soups,339
Saltine crackers,327
Shellfish,323
Spinach,321
Other red and orange vegetables,320
Stir-fry and soy-based sauce mixtures,306
"Coleslaw, non-lettuce salads",304
Other starchy vegetables,297
"Milk, nonfat",293
"Pasta, noodles, cooked grains",288
Pineapple,285
Meat and BBQ sandwiches,284
Fried rice and lo/chow mein,281
Peaches and nectarines,273
Nutrition bars,267
Soy-based condiments,257
Cabbage,253
"Egg rolls, dumplings, sushi",238
Turnovers and other grain-based items,235
Diet sport and energy drinks,232
Cheese sandwiches,232
Cottage/ricotta cheese,229
Seafood mixed dishes,225
Nutritional beverages,222
"Bean, pea, legume dishes",208
Seafood sandwiches,203
Other dark green vegetables,201
"Flavored milk, lowfat",198
Other diet drinks,190
Pears,187
Ground beef,180
Pudding,177
"Turkey, duck, other poultry",175
"Soups, cream-based",175
Protein and nutritional powders,173
Enhanced water,172
Mango and papaya,169
Vegetable dishes,166
Grits and other cooked cereals,164
Milk shakes and other dairy drinks,164
"Flavored milk, reduced fat",163
Fried vegetables,153
"Pasta sauces, tomato-based",146
Soy and meat-alternative products,144
"Flavored milk, whole",139
Vegetable sandwiches/burgers,112
Vegetable juice,108
Frankfurters,102
Nachos,95
"Flavored milk, nonfat",92
"Formula, prepared from powder",84
Baby food: snacks and sweets,65
"Lamb, goat, game",60
Human milk,60
Baby food: cereals,46
Baby food: mixtures,35
Baby food: fruit,35
Liver and organ meats,30
Baby food: vegetables,23
Plant-based yogurt,22
"Formula, ready-to-feed",22
Baby water,15
Baby food: yogurt,15
Baby juice,10
Baby food: meat and dinners,7
