category,total_grams
Tap water,8458221.75
Bottled water,6092881.81
Coffee,2889018.99
Tea,1441696.12
Soft drinks,1288732.83
Diet soft drinks,771613.73
Beer,719778.39
Fruit drinks,562621.34
Flavored or carbonated water,487620.26
"Pasta mixed dishes, excludes macaroni and cheese",480062.42
"Milk, whole",446211.52999999997
"Soups, broth-based",419198.38
"Milk, reduced fat",410444.49
Apples,307066.68
Pizza,303079.7
Eggs and omelets,301981.79
Sport and energy drinks,278424.57
"Chicken, whole pieces",276128.09
Other vegetables and combinations,267332.6
Rice,260169.42
Deli and cured meat sandwiches,257418.16
Meat mixed dishes,256731.34
Citrus juice,251167.73
Bananas,234400.89
Ice cream and frozen dairy desserts,226812.79
Oatmeal,219349.11
Smoothies and grain drinks,214038.55
Poultry mixed dishes,197398.85
French fries and other fried white potatoes,185413.19
Egg/breakfast sandwiches,182255.51
Wine,177024.94
Cakes and pies,176436.42
"Milk, lowfat",173093.86
Burgers,173010.32
Citrus fruits,172537.12
Apple juice,161159.88
Plant-based milk,159091.35
Other fruit juice,157135.67
Yeast breads,155553.57
Ramen and Asian broth-based soups,155050.95
Mashed potatoes and white potato mixtures,153387.27
Other diet drinks,150803.5
Burritos and tacos,150369.46
Diet sport and energy drinks,149076.4
Enhanced water,144578.95
Liquor and cocktails,143693.45
Cookies and brownies,140206.16
"Milk, nonfat",133050.26
"Beans, peas, legumes",130138.42
Macaroni and cheese,129957.06
Melons,127398.41
Fish,125927.59
"White potatoes, baked or boiled",124842.77
Other Mexican mixed dishes,114919.4
Lettuce and lettuce salads,114631.76
Cheese,114578.13
Tomatoes,111045.01
"Yogurt, regular",108882.98
"Formula, prepared from powder",107453.66
Nuts and seeds,106852.4
Nutritional beverages,105431.2
Rice mixed dishes,104552.38
Tomato-based condiments,103343.36
"Chicken patties, nuggets and tenders",103200.45
"Beef, excludes ground",102543.03
"Yogurt, Greek",96335.55
"Doughnuts, sweet rolls, pastries",95018.67
Cream and cream substitutes,90119.39
Grapes,87194.83
"Pancakes, waffles, French toast",85603.79
Strawberries,85215.99
"Ready-to-eat cereal, higher sugar (>21.2g/100g)",84293.92
Blueberries and other berries,82158.07
"Dips, gravies, other sauces",81780.12
Stir-fry and soy-based sauce mixtures,80128.56
"Biscuits, muffins, quick breads",77497.28
Salad dressings and vegetable oils,75307.36
Fried rice and lo/chow mein,72919.14
Frankfurter sandwiches,72379.42
Pork,71043.0
Chicken fillet sandwiches,70437.52
"Tortilla, corn, other chips",68861.12
"Flavored milk, lowfat",65317.5
Meat and BBQ sandwiches,64799.12
Broccoli,64588.26
Milk shakes and other dairy drinks,63162.2
"Soups, cream-based",62480.41
"Flavored milk, reduced fat",61341.06
Peanut butter and jelly sandwiches,60424.65
Candy containing chocolate,59184.94
"Crackers, excludes saltines",59104.06
Carrots,56529.62
Bagels and English muffins,56364.13
String beans,55268.45
Other fruits and fruit salads,55108.86
Seafood mixed dishes,53001.66
Cold cuts and cured meats,52528.43
Potato chips,52424.11
Vegetables on a sandwich,52421.44
"Pasta, noodles, cooked grains",52097.12
"Flavored milk, whole",48491.15
Corn,48147.08
"Jams, syrups, toppings",47137.8
Sausages,46914.77
"Bean, pea, legume dishes",45491.659999999996
Grits and other cooked cereals,44125.24
"Gelatins, ices, sorbets",43803.23
Peaches and nectarines,43257.67
"Coleslaw, non-lettuce salads",41961.03
Candy not containing chocolate,41707.78
Other starchy vegetables,40961.89
Other red and orange vegetables,40717.86
"Ready-to-eat cereal, lower sugar (=<21.2g/100g)",40393.14
Vegetable dishes,37588.15
"Cream cheese, sour cream, whipped cream",36704.12
"Egg rolls, dumplings, sushi",36454.81
Vegetable juice,36415.39
Seafood sandwiches,35966.0
Pears,34703.29
Shellfish,34645.090000000004
Popcorn,33566.47
Mustard and other condiments,33247.72
"Olives, pickles, pickled vegetables",32873.12
Cottage/ricotta cheese,31943.03
Turnovers and other grain-based items,31544.53
Sugars and honey,31290.98
"Flavored milk, nonfat",30448.88
Tortillas,30342.95
Pineapple,30340.12
Mayonnaise,29557.81
Pretzels/snack mix,28426.57
Cheese sandwiches,27325.56
Pudding,27167.52
Cereal bars,26526.97
Onions,24638.11
Rolls and buns,23597.72
Mango and papaya,22902.06
Cabbage,22584.85
Butter and animal fats,20719.04
Ground beef,20438.0
Spinach,20133.27
"Turkey, duck, other poultry",19599.39
Dried fruits,18734.62
Soy and meat-alternative products,18280.3
Not included in a food category,18010.86
Vegetable sandwiches/burgers,17860.95
Other dark green vegetables,16548.35
Bacon,15515.36
Nutrition bars,15016.24
"Pasta sauces, tomato-based",11969.48
Fried vegetables,11632.54
"Formula, ready-to-feed",10562.18
Protein and nutritional powders,10548.76
Frankfurters,8912.19
Baby food: mixtures,8457.880000000001
Saltine crackers,7970.37
Nachos,7228.78
Baby food: fruit,5518.84
"Lamb, goat, game",5383.02
Margarine,5366.13
Plant-based yogurt,4962.52
Soy-based condiments,4471.84
Baby food: vegetables,3638.31
Baby water,3362.8
Sugar substitutes,2942.98
Liver and organ meats,2579.79
Baby food: cereals,2535.13
Baby food: yogurt,1815.15
Baby food: meat and dinners,1498.98
Baby food: snacks and sweets,1468.46
Baby juice,1278.75
Human milk,0.0
