category,count
Tap water,3181
Coffee,2691
Bottled water,2396
Eggs and omelets,1358
Cheese,1351
Other vegetables and combinations,1270
Cookies and brownies,1245
Tea,1234
Yeast breads,1217
Cream and cream substitutes,1155
Soft drinks,1145
Tomato-based condiments,1081
Salad dressings and vegetable oils,1068
Nuts and seeds,1065
Lettuce and lettuce salads,1014
"Chicken, whole pieces",991
Sugars and honey,943
French fries and other fried white potatoes,941
Mustard and other condiments,893
"Crackers, excludes saltines",893
Bananas,869
Apples,822
Deli and cured meat sandwiches,789
Butter and animal fats,788
"Tortilla, corn, other chips",783
Ice cream and frozen dairy desserts,767
Candy containing chocolate,760
Mayonnaise,749
Vegetables on a sandwich,739
"Milk, whole",738
Potato chips,721
Tomatoes,706
"Ready-to-eat cereal, higher sugar (>21.2g/100g)",696
Rice,691
"Milk, reduced fat",678
Candy not containing chocolate,677
"Pasta mixed dishes, excludes macaroni and cheese",664
"Jams, syrups, toppings",651
Pizza,625
Cakes and pies,603
Diet soft drinks,591
Fruit drinks,590
"Dips, gravies, other sauces",563
"Doughnuts, sweet rolls, pastries",516
Citrus fruits,505
Blueberries and other berries,502
Citrus juice,492
"Cream cheese, sour cream, whipped cream",480
Burgers,472
Carrots,461
Fish,447
Meat mixed dishes,442
"Soups, broth-based",440
Egg/breakfast sandwiches,439
Strawberries,435
"Beans, peas, legumes",434
"Chicken patties, nuggets and tenders",431
"Pancakes, waffles, French toast",424
"Biscuits, muffins, quick breads",421
Grapes,408
"Olives, pickles, pickled vegetables",407
"Ready-to-eat cereal, lower sugar (=<21.2g/100g)",402
Onions,396
Mashed potatoes and white potato mixtures,393
Popcorn,391
Oatmeal,390
Not included in a food category,384
Flavored or carbonated water,382
Sugar substitutes,381
Burritos and tacos,377
Beer,368
Bacon,358
"Beef, excludes ground",351
Sausages,344
"Yogurt, regular",339
Plant-based milk,328
Poultry mixed dishes,327
Bagels and English muffins,326
Cold cuts and cured meats,316
Cereal bars,310
Wine,307
Other Mexican mixed dishes,301
Pork,297
Broccoli,290
Peanut butter and jelly sandwiches,289
Macaroni and cheese,278
"White potatoes, baked or boiled",276
Pretzels/snack mix,276
Melons,275
"Yogurt, Greek",272
"Milk, lowfat",270
Apple juice,263
Rice mixed dishes,262
String beans,259
Other fruit juice,257
Dried fruits,251
Corn,250
Smoothies and grain drinks,249
Liquor and cocktails,241
Other fruits and fruit salads,229
Sport and energy drinks,227
Margarine,224
Frankfurter sandwiches,223
Rolls and buns,208
"Milk, nonfat",197
Chicken fillet sandwiches,195
Saltine crackers,180
"Gelatins, ices, sorbets",177
Tortillas,176
Other red and orange vegetables,175
Ramen and Asian broth-based soups,170
Other starchy vegetables,166
"Coleslaw, non-lettuce salads",157
Spinach,150
Shellfish,149
Peaches and nectarines,146
Pineapple,144
Fried rice and lo/chow mein,139
"Pasta, noodles, cooked grains",139
Stir-fry and soy-based sauce mixtures,139
Meat and BBQ sandwiches,138
Nutrition bars,137
Soy-based condiments,133
Nutritional beverages,132
Cottage/ricotta cheese,131
Cabbage,126
Diet sport and energy drinks,124
"Egg rolls, dumplings, sushi",123
Cheese sandwiches,121
Other dark green vegetables,116
"Bean, pea, legume dishes",112
Seafood mixed dishes,111
Turnovers and other grain-based items,111
Other diet drinks,103
Pears,102
"Flavored milk, lowfat",102
Seafood sandwiches,102
Protein and nutritional powders,101
Pudding,94
Enhanced water,87
Ground beef,87
"Turkey, duck, other poultry",87
"Soups, cream-based",85
Grits and other cooked cereals,82
Mango and papaya,81
"Pasta sauces, tomato-based",80
"Flavored milk, reduced fat",80
Soy and meat-alternative products,77
Vegetable dishes,76
Fried vegetables,75
"Flavored milk, whole",73
Milk shakes and other dairy drinks,72
Vegetable juice,69
"Formula, prepared from powder",62
Frankfurters,57
Nachos,51
"Flavored milk, nonfat",50
Human milk,49
Vegetable sandwiches/burgers,46
"Lamb, goat, game",38
Baby food: snacks and sweets,36
Baby food: cereals,26
Baby food: mixtures,19
Baby food: fruit,19
Liver and organ meats,17
Baby food: vegetables,16
"Formula, ready-to-feed",15
Plant-based yogurt,14
Baby food: yogurt,7
Baby water,6
Baby food: meat and dinners,4
Baby juice,3
