category,total_grams
Tap water,3816625.34
Bottled water,2791312.43
Coffee,1336842.66
Tea,685572.87
Soft drinks,596803.54
Diet soft drinks,362882.38
Beer,315600.85
"Pasta mixed dishes, excludes macaroni and cheese",233558.81
Fruit drinks,232126.76
Flavored or carbonated water,215275.37
"Milk, whole",195571.34
"Soups, broth-based",195449.68
"Milk, reduced fat",181643.36
Eggs and omelets,149858.71
Pizza,143944.38
Apples,139579.01
"Chicken, whole pieces",132227.15
Other vegetables and combinations,128246.32
Citrus juice,123169.55
Deli and cured meat sandwiches,119943.43
Meat mixed dishes,118793.11
Rice,115943.05
Sport and energy drinks,115111.61
Ice cream and frozen dairy desserts,110075.58
Oatmeal,107406.21
Bananas,106604.18
Smoothies and grain drinks,97304.97
Egg/breakfast sandwiches,93047.27
French fries and other fried white potatoes,89109.05
Poultry mixed dishes,86005.84
Cakes and pies,85769.15
"Milk, lowfat",80283.16
Wine,79605.41
Burgers,78492.95
Citrus fruits,76355.35
Mashed potatoes and white potato mixtures,74810.07
Other fruit juice,72899.31
Plant-based milk,72651.03
Yeast breads,71213.89
Liquor and cocktails,71143.32
Apple juice,70130.38
Ramen and Asian broth-based soups,66592.11
Burritos and tacos,65774.81
Cookies and brownies,64559.56
Macaroni and cheese,63736.01
Fish,63386.5
Diet sport and energy drinks,63126.6
"Milk, nonfat",62016.8
Melons,60048.89
"White potatoes, baked or boiled",59563.36
Other Mexican mixed dishes,59268.5
Enhanced water,59254.5
Other diet drinks,58050.0
"Beans, peas, legumes",55788.51
Tomatoes,54737.09
Lettuce and lettuce salads,53860.38
Cheese,53291.49
"Yogurt, regular",50489.55
Tomato-based condiments,50142.62
"Chicken patties, nuggets and tenders",49736.87
Nuts and seeds,49577.05
"Formula, prepared from powder",47078.69
"Yogurt, Greek",46442.31
"Beef, excludes ground",45900.96
Rice mixed dishes,45264.61
Nutritional beverages,44561.32
"Doughnuts, sweet rolls, pastries",43802.19
"Pancakes, waffles, French toast",42124.31
Cream and cream substitutes,41583.27
Grapes,41021.3
Blueberries and other berries,38565.65
"Ready-to-eat cereal, higher sugar (>21.2g/100g)",37970.49
Strawberries,37751.47
"Biscuits, muffins, quick breads",37709.6
Salad dressings and vegetable oils,36826.1
Frankfurter sandwiches,36593.92
Fried rice and lo/chow mein,36125.44
"Dips, gravies, other sauces",35124.32
Stir-fry and soy-based sauce mixtures,34769.66
Pork,33794.56
Broccoli,31982.2
"Tortilla, corn, other chips",30803.86
Peanut butter and jelly sandwiches,30526.93
Meat and BBQ sandwiches,30312.07
"Soups, cream-based",30197.62
Chicken fillet sandwiches,29741.37
"Flavored milk, lowfat",29103.7
"Crackers, excludes saltines",27329.77
Seafood mixed dishes,27072.350000000002
Carrots,27049.23
String beans,27039.39
"Flavored milk, reduced fat",26887.35
Bagels and English muffins,26486.5
Candy containing chocolate,24907.77
Other fruits and fruit salads,24683.83
Potato chips,24529.48
Vegetables on a sandwich,24383.28
Milk shakes and other dairy drinks,24148.88
Corn,23529.96
"Pasta, noodles, cooked grains",23518.06
Sausages,23345.14
"Jams, syrups, toppings",23314.94
"Bean, pea, legume dishes",22402.02
Cold cuts and cured meats,22344.58
Other starchy vegetables,21471.17
Other red and orange vegetables,21401.1
"Flavored milk, whole",21250.75
"Coleslaw, non-lettuce salads",21030.31
Peaches and nectarines,20166.54
Grits and other cooked cereals,20154.9
"Gelatins, ices, sorbets",19970.34
"Egg rolls, dumplings, sushi",19437.94
Candy not containing chocolate,19333.29
"Ready-to-eat cereal, lower sugar (=<21.2g/100g)",19022.02
Vegetable juice,18665.48
"Cream cheese, sour cream, whipped cream",17256.43
Vegetable dishes,17017.37
"Olives, pickles, pickled vegetables",16466.99
Cottage/ricotta cheese,16232.61
Pears,15919.54
Seafood sandwiches,15573.0
Shellfish,15031.02
"Flavored milk, nonfat",15027.25
Popcorn,14820.52
Mustard and other condiments,14632.63
Sugars and honey,14278.34
Turnovers and other grain-based items,13878.16
Cheese sandwiches,13832.5
Mayonnaise,13598.61
Tortillas,13158.75
Pineapple,12797.44
Pretzels/snack mix,12728.63
Onions,12552.19
Cereal bars,12422.06
Pudding,12396.48
Cabbage,10533.11
Rolls and buns,10456.12
"Turkey, duck, other poultry",9879.99
Ground beef,9876.66
Butter and animal fats,9472.36
Mango and papaya,9221.47
Other dark green vegetables,8980.5
Soy and meat-alternative products,8591.69
Spinach,7980.66
Dried fruits,7966.34
Bacon,7496.56
Not included in a food category,7222.55
"Pasta sauces, tomato-based",7136.76
Vegetable sandwiches/burgers,7088.25
Nutrition bars,5668.14
Fried vegetables,5648.97
Frankfurters,4576.25
"Formula, ready-to-feed",4432.15
Protein and nutritional powders,4090.2
Saltine crackers,3951.65
Baby food: mixtures,3672.17
Nachos,3610.7
"Lamb, goat, game",3406.25
Margarine,2574.61
Baby food: fruit,2551.1
Soy-based condiments,2191.5099999999998
Plant-based yogurt,2013.27
Baby food: vegetables,1785.96
Liver and organ meats,1533.71
Sugar substitutes,1429.07
Baby water,1342.8
Baby food: snacks and sweets,836.99
Baby food: yogurt,831.1800000000001
Baby food: cereals,473.75
Baby food: meat and dinners,455.21999999999997
Baby juice,395.25
Human milk,0.0
