food_code,category
11000000,Human milk
11100000,"Milk, reduced fat"
11111000,"Milk, whole"
11112110,"Milk, reduced fat"
11112210,"Milk, lowfat"
11113000,"Milk, nonfat"
11114300,"Milk, lowfat"
11114320,"Milk, nonfat"
11114330,"Milk, reduced fat"
11114350,"Milk, whole"
11115300,"Milk, whole"
11115400,"Milk, lowfat"
11116000,"Milk, whole"
11120000,"Milk, nonfat"
11121100,"Milk, whole"
11210050,"Milk, whole"
11211050,"Milk, whole"
11211400,"Milk, reduced fat"
11212050,"Milk, nonfat"
11220000,"Flavored milk, whole"
11300100,Plant-based milk
11320000,Plant-based milk
11320100,Plant-based milk
11321000,Plant-based milk
11350000,Plant-based milk
11350010,Plant-based milk
11350020,Plant-based milk
11350040,Plant-based milk
11360000,Plant-based milk
11360200,Plant-based milk
11370000,Plant-based milk
11400000,"Yogurt, regular"
11400010,"Yogurt, Greek"
11410000,"Yogurt, regular"
11411010,"Yogurt, regular"
11411100,"Yogurt, regular"
11411200,"Yogurt, regular"
11411300,"Yogurt, regular"
11411390,"Yogurt, Greek"
11411400,"Yogurt, Greek"
11411410,"Yogurt, Greek"
11411420,"Yogurt, Greek"
11430000,"Yogurt, regular"
11431000,"Yogurt, regular"
11432000,"Yogurt, regular"
11433000,"Yogurt, regular"
11433990,"Yogurt, Greek"
11434000,"Yogurt, Greek"
11434010,"Yogurt, Greek"
11434020,"Yogurt, Greek"
11434090,"Yogurt, regular"
11434100,"Yogurt, regular"
11434200,"Yogurt, regular"
11434300,"Yogurt, regular"
11435000,"Yogurt, Greek"
11435010,"Yogurt, Greek"
11435020,"Yogurt, Greek"
11435030,"Yogurt, Greek"
11435100,"Yogurt, Greek"
11436000,"Yogurt, regular"
11436100,"Yogurt, regular"
11440010,"Dips, gravies, other sauces"
11440030,"Dips, gravies, other sauces"
11440040,"Dips, gravies, other sauces"
11440050,"Dips, gravies, other sauces"
11440060,"Dips, gravies, other sauces"
11440070,"Dips, gravies, other sauces"
11446000,"Yogurt, regular"
11459990,Ice cream and frozen dairy desserts
