DSDIID,DSDINGR,DSDBID,DSDBCNAM,DSDBCCAT,DSDBCID
88.0,ALIVE! CITRUS BIOFLAVONOID COMPLEX,1436.0,NARIRUTIN,4.0,10001567
88.0,ALIVE! CITRUS BIOFLAVONOID COMPLEX,1437.0,ERIOCITRIN,4.0,10001568
88.0,ALIVE! CITRUS BIOFLAVONOID COMPLEX,1598.0,FLAVONOLS,4.0,10001738
88.0,ALIVE! CITRUS BIOFLAVONOID COMPLEX,2188.0,GRAPE,3.0,10002355
88.0,ALIVE! CITRUS BIOFLAVONOID COMPLEX,2189.0,GRAPEFRUIT,3.0,10002356
88.0,ALIVE! CITRUS BIOFLAVONOID COMPLEX,2190.0,LEMON,3.0,10002357
88.0,ALIVE! CITRUS BIOFLAVONOID COMPLEX,2191.0,LIME,3.0,10002358
88.0,ALIVE! CITRUS BIOFLAVONOID COMPLEX,2195.0,TANGERINE,3.0,10002362
88.0,ALIVE! CITRUS BIOFLAVONOID COMPLEX,2513.0,NARINGIN,4.0,10002695
88.0,ALIVE! CITRUS BIOFLAVONOID COMPLEX,2514.0,FLAVONONES,4.0,10002696
88.0,ALIVE! CITRUS BIOFLAVONOID COMPLEX,2515.0,FLAVONES AND RELATED PHENOLIC COMPOUNDS,4.0,10002697
536.0,VITALERT HERBAL BLEND,22.0,BEE POLLEN,4.0,10000029
536.0,VITALERT HERBAL BLEND,137.0,GINGER ROOT,3.0,10000151
536.0,VITALERT HERBAL BLEND,150.0,GOTU KOLA,3.0,10000164
536.0,VITALERT HERBAL BLEND,217.0,LECITHIN,4.0,10000233
536.0,VITALERT HERBAL BLEND,454.0,SOY PROTEIN CONCENTRATE,3.0,10000504
536.0,VITALERT HERBAL BLEND,471.0,GINSENG (ROOT),3.0,10000524
536.0,VITALERT HERBAL BLEND,484.0,GUARANA EXTRACT,3.0,10000538
536.0,VITALERT HERBAL BLEND,491.0,ROSE HIPS (FRUIT),3.0,10000545
536.0,VITALERT HERBAL BLEND,648.0,GINKGO BILOBA LEAF,3.0,10000720
541.0,OSTEOKINETICS ENHANCED PROPRIETARY BLEND,2700.0,ALFALFA CONCENTRATE (MEDICAGO SATIVA) (LEAF),3.0,10002892
541.0,OSTEOKINETICS ENHANCED PROPRIETARY BLEND,2701.0,DEVIL'S CLAW EXTRACT (HARPAGOPHYTUM PROCUMBENS) (ROOT),3.0,10002893
542.0,NUTRILITE ACEROLA CONCENTRATE #1,1477.0,MALTODEXTRIN,4.0,10001609
542.0,NUTRILITE ACEROLA CONCENTRATE #1,1643.0,ACEROLA CHERRY EXTRACT (FRUIT),3.0,10001787
583.0,NUTRILITE ACEROLA CONCENTRATE #2,1643.0,ACEROLA CHERRY EXTRACT (FRUIT),3.0,10001787
583.0,NUTRILITE ACEROLA CONCENTRATE #2,1644.0,OTHER INGREDIENTS NOT SPECIFIED,4.0,10001788
621.0,SUNDOWN GRAPESEED XTRA PREMIUM BLEND,32.0,BILBERRY,3.0,10000039
621.0,SUNDOWN GRAPESEED XTRA PREMIUM BLEND,465.0,GREEN TEA LEAVES,3.0,10000516
621.0,SUNDOWN GRAPESEED XTRA PREMIUM BLEND,1486.0,SELENIUM AMINO ACID CHELATE,2.0,10001618
624.0,SUNDOWN VITAMIN CO-FACTOR BLEND,82.0,CHOLINE BITARTRATE,1.0,10000091
624.0,SUNDOWN VITAMIN CO-FACTOR BLEND,175.0,INOSITOL,4.0,10000189
624.0,SUNDOWN VITAMIN CO-FACTOR BLEND,1160.0,PABA (PARA-AMINOBENZOIC ACID),4.0,10001270
633.0,HERBAL BLEND FOR MULTIVITAMIN WITH HERBS,89.0,CITRUS BIOFLAVONOIDS,3.0,10000098
633.0,HERBAL BLEND FOR MULTIVITAMIN WITH HERBS,154.0,GRAPE SKIN EXTRACT,3.0,10000168
633.0,HERBAL BLEND FOR MULTIVITAMIN WITH HERBS,166.0,HESPERIDIN COMPLEX,4.0,10000180
633.0,HERBAL BLEND FOR MULTIVITAMIN WITH HERBS,184.0,KELP,3.0,10000198
633.0,HERBAL BLEND FOR MULTIVITAMIN WITH HERBS,1348.0,ALOE VERA,3.0,10001476
655.0,SCHIFF GLUCOSAMINE COMPLEX,143.0,GLUCOSAMINE SULFATE,4.0,10000157
655.0,SCHIFF GLUCOSAMINE COMPLEX,410.0,GLUCOSAMINE HYDROCHLORIDE,4.0,10000453
655.0,SCHIFF GLUCOSAMINE COMPLEX,1467.0,N-ACETYL D-GLUCOSAMINE,4.0,10001599
682.0,DOUBLE X CONCENTRATE,6.0,ALFALFA EXTRACT,3.0,10000009
682.0,DOUBLE X CONCENTRATE,301.0,QUERCETIN,4.0,10000320
682.0,DOUBLE X CONCENTRATE,332.0,SPIRULINA,3.0,10000352
682.0,DOUBLE X CONCENTRATE,360.0,VITAMIN A,1.0,10000381
682.0,DOUBLE X CONCENTRATE,364.0,VITAMIN D,1.0,10000385
682.0,DOUBLE X CONCENTRATE,392.0,BETA CAROTENE,4.0,10000433
682.0,DOUBLE X CONCENTRATE,395.0,CALCIUM PANTOTHENATE,1.0,10000437
682.0,DOUBLE X CONCENTRATE,416.0,ALPHA LIPOIC ACID,4.0,10000459
682.0,DOUBLE X CONCENTRATE,427.0,LYCOPENE,4.0,10000471
682.0,DOUBLE X CONCENTRATE,468.0,THIAMIN MONONITRATE,1.0,10000520
682.0,DOUBLE X CONCENTRATE,572.0,MAGNESIUM OXIDE,2.0,10000641
682.0,DOUBLE X CONCENTRATE,830.0,PARSLEY DEHYDRATE (STEM AND LEAVES),3.0,10000915
682.0,DOUBLE X CONCENTRATE,1074.0,WATERCRESS POWDER,3.0,10001174
682.0,DOUBLE X CONCENTRATE,1158.0,NIACIN,1.0,10001266
682.0,DOUBLE X CONCENTRATE,1167.0,MSM (METHYLSULFONYLMETHANE),4.0,10001277
